,t,I
0,0,100.0
1,1,100.49974682387472
2,2,101.00197601167689
3,3,101.50669974234263
4,4,102.01393028633804
5,5,102.52367997903607
6,6,103.03596114995204
7,7,103.55078619064548
8,8,104.06816755574168
9,9,104.5881177629318
10,10,105.11064939297273
11,11,105.6357750896872
12,12,106.1635075599637
13,13,106.6938595737566
14,14,107.22684396408594
15,15,107.76247362703766
16,16,108.30076152176348
17,17,108.84172067048085
18,18,109.38536415847312
19,19,109.93170513408936
20,20,110.48075680874445
21,21,111.03253245691909
22,22,111.58704541615978
23,23,112.1443090870788
24,24,112.70433693335421
25,25,113.2671424817299
26,26,113.83273932201557
27,27,114.40114110708666
28,28,114.97236155288446
29,29,115.54641443841602
30,30,116.12331360575423
31,31,116.70307296003774
32,32,117.28570793230945
33,33,117.87123888488178
34,34,118.45968004971579
35,35,119.05104491887411
36,36,119.64534707542909
37,37,120.24260019346268
38,38,120.84281803806653
39,39,121.4460144653419
40,40,122.0522034223998
41,41,122.66139894736081
42,42,123.27361516935521
43,43,123.88886630852294
44,44,124.50716667601358
45,45,125.1285306739864
46,46,125.75297279561032
47,47,126.38050762506388
48,48,127.01114983753534
49,49,127.6449141992226
50,50,128.28181556733318
51,51,128.92186889008434
52,52,129.5650892067029
53,53,130.21149164742542
54,54,130.8610914334981
55,55,131.51390387717677
56,56,132.16994438172696
57,57,132.82922844142382
58,58,133.49177164155222
59,59,134.15758965840664
60,60,134.8266982592912
61,61,135.4991133025197
62,62,136.17485073741568
63,63,136.85392660431222
64,64,137.5363570345521
65,65,138.22215825048784
66,66,138.91134656548144
67,67,139.60393838390476
68,68,140.2999502011392
69,69,140.99939860357586
70,70,141.70230026861546
71,71,142.40867196466843
72,72,143.11853055115483
73,73,143.8318929785044
74,74,144.54877628815655
75,75,145.26919761256025
76,76,145.9931741751743
77,77,146.720723290467
78,78,147.4518623639164
79,79,148.1866088920102
80,80,148.92498046224574
81,81,149.66699475313004
82,82,150.4126695341797
83,83,151.16202266592114
84,84,151.91507209989032
85,85,152.67183587863283
86,86,153.43233213570403
87,87,154.19657909566888
88,88,154.96459507410202
89,89,155.73639847758767
90,90,156.51200780371983
91,91,157.2914416411021
92,92,158.07471866934776
93,93,158.86185765907967
94,94,159.65287747193048
95,95,160.44779706054243
96,96,161.24663546856738
97,97,162.0494118306669
98,98,162.8561453725123
99,99,163.66685541078434
100,100,164.48156135317365
101,101,165.30028269838039
102,102,166.12303903611442
103,103,166.9498500470953
104,104,167.7807355030522
105,105,168.61571526672395
106,106,169.45480929185902
107,107,170.29803762321566
108,108,171.1454203965616
109,109,171.99697783867438
110,110,172.85273026734112
111,111,173.71269809135862
112,112,174.57690181053334
113,113,175.4453620156814
114,114,176.3180993886286
115,115,177.1951347022104
116,116,178.07648882027183
117,117,178.96218269766769
118,118,179.85223738026238
119,119,180.74667400493001
120,120,181.64551379955435
121,121,182.54877808302868
122,122,183.45648826525616
123,123,184.3686658471495
124,124,185.28533242063105
125,125,186.20650966863286
126,126,187.13221936509666
127,127,188.06248337497374
128,128,188.99732365422514
129,129,189.93676224982158
130,130,190.8808212997434
131,131,191.8295230329805
132,132,192.78288976953263
133,133,193.7409439204091
134,134,194.70370798762883
135,135,195.67120456422055
136,136,196.64345633422244
137,137,197.62048607268258
138,138,198.60231664565845
139,139,199.58897101021745
140,140,200.58047221443644
141,141,201.5768433974021
142,142,202.57810778921055
143,143,203.58428871096783
144,144,204.59540957478941
145,145,205.61149388380062
146,146,206.6325652321363
147,147,207.65864730494104
148,148,208.68976387836904
149,149,209.72593881958414
150,150,210.7671960867599
151,151,211.81355972907954
152,152,212.86505388673584
153,153,213.92170279093136
154,154,214.98353076387832
155,155,216.0505622187985
156,156,217.12282165992335
157,157,218.20033368249412
158,158,219.28312297276153
159,159,220.37121430798618
160,160,221.464632556438
161,161,222.56340267739697
162,162,223.66754972115245
163,163,224.77709882900356
164,164,225.8920752332591
165,165,227.0125042572375
166,166,228.1384113152668
167,167,229.2698219126848
168,168,230.40676164583888
169,169,231.54925620208616
170,170,232.69733135979328
171,171,233.85101298833672
172,172,235.01032704810245
173,173,236.17529959048628
174,174,237.34595675789348
175,175,238.52232478373912
176,176,239.7044299924479
177,177,240.89229879945418
178,178,242.0859577112019
179,179,243.2854333251448
180,180,244.49075232974616
181,181,245.70194224518968
182,182,246.91903757181646
183,183,248.14206728151112
184,184,249.3710584884271
185,185,250.60603846910428
186,186,251.84703466246904
187,187,253.09407466983433
188,188,254.34718625489958
189,189,255.60639734375073
190,190,256.87173602486024
191,191,258.14323054908704
192,192,259.4209093296767
193,193,260.7048009422611
194,194,261.99493412485884
195,195,263.29133777787484
196,196,264.59404096410066
197,197,265.90307290871436
198,198,267.2184629992804
199,199,268.54024078575
200,200,269.8684359804605
201,201,271.20307845813613
202,202,272.54419825588747
203,203,273.8918255732116
204,204,275.24599077199207
205,205,276.60672437649913
206,206,277.97405707338925
207,207,279.3480197117057
208,208,280.72864330287814
209,209,282.1159590207226
210,210,283.5099982014419
211,211,284.91079234362513
212,212,286.31837310824807
213,213,287.7327723186729
214,214,289.1540219606483
215,215,290.5821541823096
216,216,292.0172012941784
217,217,293.45919576916305
218,218,294.9081702425583
219,219,296.36415751204544
220,220,297.8271905376922
221,221,299.2973024419529
222,222,300.7745265096685
223,223,302.25889618806605
224,224,303.75044508675956
225,225,305.24920697774934
226,226,306.7552157954222
227,227,308.2685056365516
228,228,309.7891107602973
229,229,311.31706558820576
230,230,312.8524047042099
231,231,314.39516285462906
232,232,315.94537494816916
233,233,317.5030760559227
234,234,319.06830141136857
235,235,320.6410864103722
236,236,322.22146661118563
237,237,323.8094777344473
238,238,325.4051556631822
239,239,327.00853644280176
240,240,328.6196562811041
241,241,330.2385515482736
242,242,331.8652587768815
243,243,333.4998146618852
244,244,335.1422560606287
